ln_Houseloan,ln_NGDP,ln_BroadMoney
13.50144618,13.97139744,15.468902
13.54872202,13.96717529,15.47753257
13.58322409,13.97232113,15.45362455
13.58386976,14.00453626,15.4775468
13.57209159,14.03545219,15.51151563
13.56512941,13.93773616,15.52212346
13.56865944,13.93462515,15.55298824
13.55123377,13.99703263,15.57813571
13.53174613,14.00596396,15.58386594
13.50956132,13.95398559,15.58847144
13.48973471,13.98288682,15.58708365
13.47324558,14.03810036,15.59603701
13.46201484,14.05758812,15.6003738
13.45001828,14.01710029,15.60037296
13.44037192,14.03277768,15.61480209
13.4308843,14.10061807,15.63667671
13.42706185,14.11263739,15.65192419
13.41781866,14.09003596,15.66051217
13.42658246,14.08753113,15.66956102
13.42967306,14.13068255,15.69023231
13.45389773,14.17338428,15.69237834
13.47844775,14.15821405,15.70239428
13.50676146,14.16547423,15.7033979
13.53917586,14.22863029,15.70072925
13.56626941,14.2689528,15.72346083
13.60221213,14.23746628,15.73027393
13.64935443,14.25902711,15.7395129
13.66978512,14.32260824,15.76174594
13.70059678,14.34205755,15.78784534
13.74735698,14.33622215,15.80200807
13.81837844,14.35843234,15.81106248
13.86558466,14.43444753,15.82461104
13.89888249,14.43933821,15.84007344
13.93392095,14.41917495,15.83917918
13.98277093,14.45883599,15.85376585
14.01123522,14.51699687,15.87627412
14.0157236,14.56434123,15.91437586
14.06289784,14.53166992,15.93057826
14.09134978,14.54531989,15.94085381
14.11318479,14.58787318,15.9590644
14.11278002,14.63007107,15.98975806
14.13224936,14.59822052,16.00793832
14.15055892,14.62020537,16.01285757
14.17879094,14.68877353,16.02061379
14.18713756,14.71098697,16.04554937
14.21525131,14.70960026,16.05438559
14.2384704,14.71743296,16.05187283
14.26066037,14.6694926,16.09070154
14.27472494,14.67380092,16.13392225
14.28949438,14.66688723,16.14099329
14.32247213,14.689128,16.12545183
14.35194369,14.7559521,16.15545617
14.38714413,14.82735326,16.18701463
14.41299945,14.79088647,16.20361451
14.42295169,14.79256294,16.21247431
14.44951212,14.82663936,16.26069357
14.4682315,14.90080185,16.30760903
14.49088015,14.84902275,16.34508293
14.5189392,14.86358436,16.3692108
14.52558221,14.80264402,16.40638569
14.55671049,14.92936542,16.43984221
14.5793282,14.91193612,16.44651879
14.60715103,14.93129981,16.47672712
14.63244582,14.99902787,16.51334388
14.65275722,15.0056632,16.53054928
14.67635708,14.95968368,16.54948124
14.70277734,14.97185041,16.55658681
14.73579809,15.01229317,16.57776987
14.75440548,15.01613657,16.59899743
14.78060631,14.99195912,16.59721114
14.80958792,14.99655623,16.59681512
14.83908639,15.04148709,16.6224553
14.8555512,15.04862111,16.65370401
14.87677225,15.01947066,16.6577276
14.89759874,15.04409178,16.65223778
14.92136688,15.08581084,16.67025992
14.93753887,15.09581559,16.69094007
14.96004286,15.08444211,16.69782091
14.97465648,15.10427891,16.69356825
14.9946233,15.15241376,16.71320124
15.00118639,15.15853357,16.72780296
15.01463915,15.1381588,16.73769876
15.03324928,15.16477598,16.73906792
15.05355198,15.21425633,16.75828109
15.06602786,15.21498518,16.78046239
15.08442327,15.20166941,16.78939903
15.10379455,15.21799244,16.78578358
15.1255708,15.26373175,16.80595281
15.14266354,15.25555396,16.82252406
15.15018815,15.23962369,16.82616997
15.16265418,15.24515627,16.82803761
15.18123607,15.28267129,16.84631756
15.18753509,15.23632059,16.8706469
15.20419282,15.08009283,16.9248546
15.22321116,15.16660071,16.92874792
15.24403936,15.23077423,16.94024237
15.25730396,15.212595,16.95165495
15.27286222,15.18085397,16.95991462
15.28510117,15.18368295,16.96765093
15.29943853,15.27412186,16.98819441
15.30617462,15.2713627,17.00624478
15.32381324,15.25381418,17.01847141
15.33833883,15.28321047,17.01696934
15.35585517,15.32779728,17.03020706
15.36354466,15.32330238,17.03881954
15.37483995,15.28177693,17.03793675
15.38768784,15.3063845,17.03246329
15.40039201,15.348346,17.0471426
15.40169765,15.34621907,17.0631245
15.40838912,15.3226054,17.06644826
15.41641839,15.34118483,17.0619382
