"","y"
"2021-11-04",-0.00339843745142893
"2021-11-05",0.00063204065953531
"2021-11-06",0.00382745288974213
"2021-11-07",-0.00221070007470541
"2021-11-08",-0.00323243481112738
"2021-11-09",-0.0025146543703504
"2021-11-10",-0.00718798600400736
"2021-11-11",-0.00377185354603885
"2021-11-12",0.000167354119909057
"2021-11-13",-0.000453947200605806
"2021-11-14",0.00032489535882045
"2021-11-15",0.00247127421885384
"2021-11-16",0.00212001397946063
"2021-11-17",-0.000983712638810058
"2021-11-18",-0.00271556830713616
"2021-11-19",-0.00158633595984669
"2021-11-20",0.000420798522164136
"2021-11-21",-0.00160867269931957
"2021-11-22",-0.00211193069292202
"2021-11-23",0.00171117123968171
"2021-11-24",0.00138838105294394
"2021-11-25",-0.001667809545829
"2021-11-26",-0.00176959255228231
"2021-11-27",0.00182951664025762
"2021-11-28",0.00307575337055286
"2021-11-29",0.00370707463611451
"2021-11-30",0.00251202934665911
"2021-12-01",0.00119836805741887
"2021-12-02",-0.000475405183549743
"2021-12-03",0.000327726345612871
"2021-12-04",-4.15663242343176e-05
"2021-12-05",-0.00386053777315764
"2021-12-06",-0.00208399157342022
"2021-12-07",0.00466460637029133
"2021-12-08",0.00586843248873368
"2021-12-09",0.005173609483381
"2021-12-10",0.00370951451853928
"2021-12-11",-0.000802851910603532
"2021-12-12",-0.00184873009173558
"2021-12-13",-0.00107563035859426
"2021-12-14",-0.00158542128533262
"2021-12-15",0.000695778377329408
"2021-12-16",-0.0013997539752318
"2021-12-17",-2.53730948435405e-05
"2021-12-18",0.00376756017924872
"2021-12-19",-0.0012603868874852
"2021-12-20",-0.000667767568407559
"2021-12-21",0.00751093124329216
"2021-12-22",0.00291355062576017
"2021-12-23",0.00118658651925281
"2021-12-24",-0.000264968462605908
"2021-12-25",0.00140749105096285
"2021-12-26",0.00351634464735181
"2021-12-27",0.00532408600606523
"2021-12-28",-0.0010966148403796
"2021-12-29",-0.00406976030986419
"2021-12-30",-0.00185161726070681
"2021-12-31",-0.00194853934980579
"2022-01-01",-0.0021689528978049
"2022-01-02",-0.00351322715297541
"2022-01-03",-0.000236576417795168
"2022-01-04",-0.00148834721981927
"2022-01-05",0.00169265751665149
"2022-01-06",-0.000413880284396584
"2022-01-07",-0.00247459876541859
"2022-01-08",0.00172167724773509
"2022-01-09",0.00270625675061555
"2022-01-10",0.000470121052094033
"2022-01-11",-0.0004159071006787
"2022-01-12",0.00226137904565222
"2022-01-13",-0.00165466759708413
"2022-01-14",-0.0047337311093836
"2022-01-15",-0.000817086814994715
"2022-01-16",-0.000410205962293302
"2022-01-17",0.00229769393448525
"2022-01-18",0.00426904803933006
"2022-01-19",0.00157625056089507
"2022-01-20",-0.00336510074857816
"2022-01-21",-0.00273773316837278
"2022-01-22",-0.000724049105420601
"2022-01-23",-0.000861605199561334
"2022-01-24",-0.00277219327727797
"2022-01-25",-0.000877699885593636
"2022-01-26",-0.00143147291533319
"2022-01-27",-0.00245107068589243
"2022-01-28",0.000427479559579281
"2022-01-29",-0.00101471989737914
"2022-01-30",-7.41600844075725e-05
"2022-01-31",-0.00184079457689771
"2022-02-01",-0.00917252755067292
"2022-02-02",-0.00372011638670443
"2022-02-03",0.00432048920189615
"2022-02-04",0.00136994242801879
