"","x"
"1",0
"2",-0.521073308592074
"3",-1.62567803281373
"4",-2.47391075768797
"5",-2.06378108362016
"6",-1.52795282752691
"7",-0.804047976174331
"8",0.12502360469226
"9",1.30797330077948
"10",1.8409616072697
"11",1.84498337878684
"12",2.21948163996237
"13",2.46302041690917
"14",2.17761653903242
"15",1.04107147082207
"16",-0.339293351303638
"17",-1.12966804858463
"18",-2.45434991571223
"19",-3.35874880484373
"20",-3.4454574125812
"21",-3.23459495256747
"22",-2.89312071245334
"23",-3.87089808076407
"24",-4.77065760767035
"25",-4.77485663313959
"26",-4.61021409132625
"27",-4.47099970333518
"28",-6.45576292422895
"29",-8.90819240372734
"30",-9.76571549767892
"31",-9.61256678528881
"32",-8.47876588893628
"33",-7.12508746322823
"34",-4.82068881234427
"35",-2.59678266356603
"36",-0.330452834430103
"37",2.13875801905126
"38",5.1512102212397
"39",7.93104811574076
"40",11.4723373154341
"41",14.7462090501499
"42",15.3145260721331
"43",15.4646503886136
"44",16.6031728084467
"45",18.9404823417022
"46",19.7532276697424
"47",18.1130204366998
"48",18.5274913577623
"49",18.2879512146486
"50",17.9115414549598
"51",17.6925393600514
"52",16.3918665902191
"53",13.687463482624
"54",11.8156029997479
"55",10.7569003073136
"56",9.50280133199662
"57",9.49528419348224
"58",10.1357368503847
"59",10.5508608256986
"60",9.97940980107877
"61",8.61607356687547
"62",7.15313162876376
"63",7.41316379338843
"64",9.94253078111617
"65",12.138392701189
"66",13.272186674421
"67",13.2222697528952
"68",14.2284624459867
"69",14.9040265875776
"70",14.8535713987795
"71",15.1746865104594
"72",15.7001847973635
"73",16.2916936997564
"74",17.6196008364342
"75",18.4443213604033
"76",19.363857234404
"77",20.4907732699206
"78",20.2918608545298
"79",18.8708421078897
"80",17.1535828004722
"81",15.1811130907142
"82",13.7957166928199
"83",13.6293316911664
"84",14.7883980908444
"85",16.3404829770468
"86",17.9596977168031
"87",19.3374483512557
"88",20.6549826770023
"89",22.103593355853
"90",24.4648339999522
"91",26.2788304682994
"92",28.3687732460693
"93",31.0067559162961
"94",32.9640115465128
"95",34.6134466862869
"96",35.8837123588135
"97",36.2601014869693
"98",38.0026408471368
"99",38.3344025711485
"100",35.9735815145353
"101",33.2379494243682
