"t","y"
"1",0.650810815686536
"2",0.372058978710543
"3",0.369371905409804
"4",0.509627701238239
"5",0.310148322344557
"6",0.656417428133671
"7",0.680285859399286
"8",-0.0871203261075604
"9",-0.763525785817173
"10",-0.707240561951352
"11",-0.715879319277232
"12",-1.13741943876191
"13",-1.20314582639111
"14",-1.6441794714665
"15",-1.56282648870515
"16",-1.16561039640859
"17",-1.03120201670481
"18",-0.804278633817618
"19",-0.437402673261129
"20",-0.522609904912483
"21",-0.38305725851928
"22",-0.632757617624215
"23",-0.339610449669367
"24",-0.0238450419215208
"25",-0.164599758891515
"26",-0.458086509772285
"27",0.349764618585918
"28",0.710352184775883
"29",0.447236813929009
"30",-0.837443085791275
"31",-1.81788662342165
"32",-1.25239205518292
"33",-0.299753582465017
"34",-0.16268158537083
"35",-0.719884566190419
"36",-0.732312913182942
"37",-0.679632356115832
"38",-0.469254162299847
"39",-0.684441748815952
"40",-1.06633924194787
"41",-0.660714046892229
"42",0.0536179868203452
"43",0.829011409030903
"44",0.795143483130053
"45",0.233154729186584
"46",-0.532742942336854
"47",-0.891672428532715
"48",-0.0652591115143638
"49",-0.136464761828342
"50",-0.142873929585611
"51",-0.0995583168991438
"52",0.199330131850123
"53",0.246100585316112
"54",-0.263435628987162
"55",-0.590836784711803
"56",-0.429822371335858
"57",0.0840704914999286
"58",0.858384328749662
"59",1.44910472832275
"60",1.68448255525679
"61",0.77721533702753
"62",0.58542708958467
"63",0.459630002217164
"64",0.0389879606014065
"65",0.160800650334622
"66",0.88165191856726
"67",0.232448996096132
"68",0.796907924521021
"69",0.957957718423274
"70",0.181773080981952
"71",0.501264702306512
"72",0.423625023165588
"73",0.666427377036906
"74",0.695910226438278
"75",0.518257833686119
"76",0.431987874725589
"77",0.607524726732741
"78",0.483391396836941
"79",-0.00746026219425672
"80",0.243929221703643
"81",-0.186044595802989
"82",0.0191954633500525
"83",0.543858865862166
"84",-0.170254823703084
"85",-0.0368131400758153
"86",-0.177666373201952
"87",0.165646580509561
"88",-0.119789167986229
"89",-0.406778132973047
"90",-0.838070095840539
"91",-0.908940397686001
"92",-0.246740593622928
"93",1.37519993725788
"94",1.72556160182734
"95",0.404407391591864
"96",0.465564705021549
"97",-0.100518991992203
"98",-0.459739714072944
"99",0.302061398700889
"100",-0.657259470155812
"101",-0.55478336396836
"102",0.372663839646633
"103",-0.111292130185353
"104",-0.372938790780211
"105",0.82836671722484
"106",0.559672130244526
"107",0.0922205713017106
"108",0.127101621080855
"109",0.174100070489108
"110",0.95328007782161
"111",0.536254753470505
"112",0.0023937880257508
"113",-0.0328268495286447
"114",-0.412133512180538
"115",-1.34888431626413
"116",-1.21604407785405
"117",-1.62531617562235
"118",-1.56251328336329
"119",-1.26989178954539
"120",-0.824991521073286
"121",-0.590343011781521
"122",-0.873007301216719
"123",-1.05245973433996
"124",-0.828462098423972
"125",-0.217756412782833
"126",-0.0383404109598239
"127",-0.400462683591839
"128",-0.477728940630259
"129",0.578217091845904
"130",0.0650029288175867
"131",-0.496690463446274
"132",-0.420720105398498
"133",-0.591927749497466
"134",0.592635945602654
"135",0.553137973512693
"136",-0.310322254565348
"137",-0.672600171395412
"138",0.0629766147653501
"139",0.808458416273613
"140",-0.312710379301801
"141",-0.75671344656468
"142",-0.0406985124794057
"143",0.00886263729400331
"144",-0.113688971847151
"145",-0.682879410664459
"146",-1.23097097286729
"147",-0.735566679657498
